,Customer ID,Customer Name,customer_name_masked
0,CG-12520,Claire Gute,C G
1,CG-12520,Claire Gute,C G
2,DV-13045,Darrin Van Huff,D H
3,SO-20335,Sean O'Donnell,S O
4,SO-20335,Sean O'Donnell,S O
5,BH-11710,Brosina Hoffman,B H
6,BH-11710,Brosina Hoffman,B H
7,BH-11710,Brosina Hoffman,B H
8,BH-11710,Brosina Hoffman,B H
9,BH-11710,Brosina Hoffman,B H
10,BH-11710,Brosina Hoffman,B H
11,BH-11710,Brosina Hoffman,B H
12,AA-10480,Andrew Allen,A A
13,IM-15070,Irene Maddox,I M
14,HP-14815,Harold Pawlan,H P
15,HP-14815,Harold Pawlan,H P
16,PK-19075,Pete Kriz,P K
17,KB-16585,Ken Black,K B
18,KB-16585,Ken Black,K B
19,SF-20065,Sandra Flanagan,S F
20,EB-13870,Emily Burns,E B
21,EH-13945,Eric Hoffmann,E H
22,EH-13945,Eric Hoffmann,E H
23,TB-21520,Tracy Blumstein,T B
24,TB-21520,Tracy Blumstein,T B
25,TB-21520,Tracy Blumstein,T B
26,TB-21520,Tracy Blumstein,T B
27,TB-21520,Tracy Blumstein,T B
28,TB-21520,Tracy Blumstein,T B
29,TB-21520,Tracy Blumstein,T B
30,MA-17560,Matt Abelman,M A
31,GH-14485,Gene Hale,G H
32,GH-14485,Gene Hale,G H
33,SN-20710,Steve Nguyen,S N
34,SN-20710,Steve Nguyen,S N
35,SN-20710,Steve Nguyen,S N
36,SN-20710,Steve Nguyen,S N
37,LC-16930,Linda Cazamias,L C
38,RA-19885,Ruben Ausman,R A
39,ES-14080,Erin Smith,E S
40,ON-18715,Odella Nelson,O N
41,ON-18715,Odella Nelson,O N
42,PO-18865,Patrick O'Donnell,P O
43,LH-16900,Lena Hernandez,L H
44,LH-16900,Lena Hernandez,L H
45,DP-13000,Darren Powers,D P
46,DP-13000,Darren Powers,D P
47,DP-13000,Darren Powers,D P
48,DP-13000,Darren Powers,D P
49,JM-15265,Janet Molinari,J M
50,JM-15265,Janet Molinari,J M
51,TB-21055,Ted Butterfield,T B
52,TB-21055,Ted Butterfield,T B
53,TB-21055,Ted Butterfield,T B
54,TB-21055,Ted Butterfield,T B
55,TB-21055,Ted Butterfield,T B
56,TB-21055,Ted Butterfield,T B
57,TB-21055,Ted Butterfield,T B
58,KM-16720,Kunst Miller,K M
59,KM-16720,Kunst Miller,K M
60,KM-16720,Kunst Miller,K M
61,KM-16720,Kunst Miller,K M
62,PS-18970,Paul Stevenson,P S
63,BS-11590,Brendan Sweed,B S
64,BS-11590,Brendan Sweed,B S
65,KD-16270,Karen Daniels,K D
66,HM-14980,Henry MacAllister,H M
67,TB-21520,Tracy Blumstein,T B
68,JE-15745,Joel Eaton,J E
69,JE-15745,Joel Eaton,J E
70,JE-15745,Joel Eaton,J E
71,KB-16600,Ken Brennan,K B
72,KB-16600,Ken Brennan,K B
73,KB-16600,Ken Brennan,K B
74,JE-15745,Joel Eaton,J E
75,SC-20770,Stewart Carmichael,S C
76,SC-20770,Stewart Carmichael,S C
77,DN-13690,Duane Noonan,D N
78,DN-13690,Duane Noonan,D N
79,JC-16105,Julie Creighton,J C
80,CS-12400,Christopher Schild,C S
81,PO-18865,Patrick O'Donnell,P O
82,PG-18895,Paul Gonzalez,P G
83,PG-18895,Paul Gonzalez,P G
84,GM-14455,Gary Mitchum,G M
85,JS-15685,Jim Sink,J S
86,JS-15685,Jim Sink,J S
87,JS-15685,Jim Sink,J S
88,KB-16315,Karl Braun,K B
89,KB-16315,Karl Braun,K B
90,KB-16315,Karl Braun,K B
91,RB-19705,Roger Barcio,R B
92,PN-18775,Parhena Norris,P N
93,KD-16345,Katherine Ducich,K D
94,ER-13855,Elpida Rittenbach,E R
95,RB-19465,Rick Bensley,R B
96,RB-19465,Rick Bensley,R B
97,RB-19465,Rick Bensley,R B
98,GZ-14470,Gary Zandusky,G Z
99,LC-16870,Lena Cacioppo,L C
100,LC-16870,Lena Cacioppo,L C
101,LC-16870,Lena Cacioppo,L C
102,JM-15250,Janet Martin,J M
103,JM-15250,Janet Martin,J M
104,JM-15250,Janet Martin,J M
105,PA-19060,Pete Armstrong,P A
106,CV-12805,Cynthia Voltz,C V
107,CL-12565,Clay Ludtke,C L
108,CL-12565,Clay Ludtke,C L
109,RC-19960,Ryan Crowe,R C
110,RC-19960,Ryan Crowe,R C
111,RC-19960,Ryan Crowe,R C
112,RC-19960,Ryan Crowe,R C
113,DK-13090,Dave Kipp,D K
114,GG-14650,Greg Guthrie,G G
115,SC-20725,Steven Cartwright,S C
116,SC-20725,Steven Cartwright,S C
117,SC-20725,Steven Cartwright,S C
118,SC-20725,Steven Cartwright,S C
119,SC-20725,Steven Cartwright,S C
120,AD-10180,Alan Dominguez,A D
121,PF-19165,Philip Fox,P F
122,TS-21610,Troy Staebel,T S
123,TS-21610,Troy Staebel,T S
124,LS-16975,Lindsay Shagiari,L S
125,LS-16975,Lindsay Shagiari,L S
126,DW-13585,Dorothy Wardle,D W
127,DW-13585,Dorothy Wardle,D W
128,DW-13585,Dorothy Wardle,D W
129,LC-16885,Lena Creighton,L C
130,LC-16885,Lena Creighton,L C
131,LC-16885,Lena Creighton,L C
132,LC-16885,Lena Creighton,L C
133,LC-16885,Lena Creighton,L C
134,LC-16885,Lena Creighton,L C
135,LC-16885,Lena Creighton,L C
136,JD-15895,Jonathan Doherty,J D
137,SH-19975,Sally Hughsby,S H
138,SH-19975,Sally Hughsby,S H
139,SH-19975,Sally Hughsby,S H
140,SG-20080,Sandra Glassco,S G
141,HA-14920,Helen Andreada,H A
142,MG-17680,Maureen Gastineau,M G
143,JE-16165,Justin Ellison,J E
144,JE-16165,Justin Ellison,J E
145,JE-16165,Justin Ellison,J E
146,JE-16165,Justin Ellison,J E
147,TW-21025,Tamara Willingham,T W
148,TW-21025,Tamara Willingham,T W
149,SP-20650,Stephanie Phelps,S P
150,SP-20650,Stephanie Phelps,S P
151,SP-20650,Stephanie Phelps,S P
152,NK-18490,Neil Knudson,N K
153,DB-13060,Dave Brooks,D B
154,NP-18670,Nora Paige,N P
155,NP-18670,Nora Paige,N P
156,TT-21070,Ted Trevino,T T
157,EM-13960,Eric Murdock,E M
158,RD-19900,Ruben Dartt,R D
159,MJ-17740,Max Jones,M J
160,BM-11140,Becky Martin,B M
161,BM-11140,Becky Martin,B M
162,BM-11140,Becky Martin,B M
163,BM-11140,Becky Martin,B M
164,BM-11140,Becky Martin,B M
165,BM-11140,Becky Martin,B M
166,BM-11140,Becky Martin,B M
167,CS-12130,Chad Sievert,C S
168,CS-12130,Chad Sievert,C S
169,CS-12130,Chad Sievert,C S
170,JB-15400,Jennifer Braxton,J B
171,JB-15400,Jennifer Braxton,J B
172,SJ-20500,Shirley Jackson,S J
173,JE-15745,Joel Eaton,J E
174,JE-15745,Joel Eaton,J E
175,JK-15640,Jim Kriz,J K
176,DK-13150,David Kendrick,D K
177,DK-13150,David Kendrick,D K
178,RM-19675,Robert Marley,R M
179,RM-19675,Robert Marley,R M
180,RM-19675,Robert Marley,R M
181,SK-19990,Sally Knutson,S K
182,FM-14290,Frank Merwin,F M
183,AM-10360,Alice McCarthy,A M
184,AM-10360,Alice McCarthy,A M
185,MP-17470,Mark Packer,M P
186,MP-17470,Mark Packer,M P
187,MP-17470,Mark Packer,M P
188,MP-17470,Mark Packer,M P
189,MP-17470,Mark Packer,M P
190,MZ-17515,Mary Zewe,M Z
191,CB-12025,Cassandra Brandow,C B
192,CB-12025,Cassandra Brandow,C B
193,VM-21685,Valerie Mitchum,V M
194,FH-14365,Fred Hopkins,F H
195,FH-14365,Fred Hopkins,F H
196,MB-17305,Maria Bertelson,M B
197,BS-11755,Bruce Stewart,B S
198,BS-11755,Bruce Stewart,B S
199,LC-17140,Logan Currie,L C
200,HK-14890,Heather Kirkland,H K
201,LE-16810,Laurel Elliston,L E
